"","Cycle","Live","Die","Cycle_Cost","Cum_Cost","Cycle_Dis_Cost","Cum_Dis_Cost","Cycle_QALE","Cum_QALE","Cycle_Dis_QALE","Cum_Dis_QALE"
"1",0,1000,0,0,0,0,0,500,500,485.436893203884,485.436893203884
"2",1,1000,0,0,0,0,0,1000,1500,942.595909133754,1428.03280233764
"3",2,1000,0,0,0,0,0,1000,2500,915.14165935316,2343.1744616908
"4",3,1000,0,0,0,0,0,1000,3500,888.487047915689,3231.66150960649
"5",4,1000,0,0,0,0,0,1000,4500,862.608784384164,4094.27029399065
"6",5,1000,0,0,0,0,0,1000,5500,837.484256683654,4931.7545506743
"7",6,1000,0,0,0,0,0,1000,6500,813.091511343354,5744.84606201766
"8",7,1000,0,0,0,0,0,1000,7500,789.409234313935,6534.25529633159
"9",8,1000,0,0,0,0,0,1000,8500,766.416732343627,7300.67202867522
"10",9,1000,0,0,0,0,0,1000,9500,744.093914896725,8044.76594357195
"11",10,1000,0,0,0,0,0,1000,10500,722.421276598762,8767.18722017071
"12",11,1000,0,0,0,0,0,1000,11500,701.379880192973,9468.56710036368
"13",12,1000,0,0,0,0,0,1000,12500,680.951339993177,10149.5184403569
"14",13,1000,0,0,0,0,0,1000,13500,661.117805818619,10810.6362461755
"15",14,1000,0,0,0,0,0,1000,14500,641.861947396717,11452.4981935722
"16",15,1000,0,0,0,0,0,1000,15500,623.166939220114,12075.6651327923
"17",16,1000,0,0,0,0,0,1000,16500,605.016445844771,12680.6815786371
"18",17,1000,0,0,0,0,0,1000,17500,587.394607616282,13268.0761862534
"19",18,1000,0,0,0,0,0,1000,18500,570.286026811925,13838.3622130653
"20",19,1000,0,0,0,0,0,1000,19500,553.675754186335,14392.0379672516
"21",20,1000,0,0,0,0,0,1000,20500,537.549275909063,14929.5872431607
"22",21,1000,0,0,0,0,0,1000,21500,521.892500882585,15451.4797440433
"23",22,1000,0,0,0,0,0,1000,22500,506.691748429694,15958.171492473
"24",23,1000,0,0,0,0,0,1000,23500,491.933736339509,16450.1052288125
"25",24,1000,0,0,0,0,0,1000,24500,477.605569261659,16927.7107980741
"26",25,1000,0,0,0,0,0,1000,25500,463.694727438504,17391.4055255126
"27",26,1000,0,0,0,0,0,1000,26500,450.189055765538,17841.5945812782
"28",27,1000,0,0,0,0,0,1000,27500,437.076753170425,18278.6713344486
"29",28,1000,0,0,0,0,0,1000,28500,424.346362301384,18703.01769675
"30",29,1000,0,0,0,0,0,1000,29500,411.986759515906,19115.0044562659
"31",30,1000,0,0,0,0,0,1000,30500,399.987145161074,19514.991601427
"32",31,1000,0,0,0,0,0,1000,31500,388.337034136965,19903.3286355639
"33",32,1000,0,0,0,0,0,1000,32500,377.026246734918,20280.3548822988
"34",33,1000,0,0,0,0,0,1000,33500,366.044899742639,20646.3997820415
"35",34,1000,0,0,0,0,0,1000,34500,355.383397808387,21001.7831798499
"36",35,1000,0,0,0,0,0,1000,35500,345.032425056686,21346.8156049066
"37",36,1000,0,0,0,0,0,1000,36500,334.982936948239,21681.7985418548
"38",37,1000,0,0,0,0,0,1000,37500,325.226152376931,22007.0246942317
"39",38,1000,0,0,0,0,0,1000,38500,315.75354599702,22322.7782402287
"40",39,1000,0,0,0,0,0,1000,39500,306.556840773806,22629.3350810026
"41",40,1000,0,0,0,0,0,500,40000,148.814000375634,22778.1490813782
